SER DOCUMENT AND DRAWING REGISTER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Discipline :,Structural,,,Reg No.,230049-M+J-00-XX-RE-S-00-01_NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project No.,230049,,,Client No.,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name:,"LONGMORN DISTILERY, ELGIN, MORAYSHIRE, IV30 3SJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Client:,,,,CHIVAS BROTHERS LTD,,,INSERT NEW COLUMN (I),*,,*,*,*,*,*,*,*,*,,*,,,*,*,*,,,,,,,,,,,,,,,
Council:,,,,MORAY COUNCIL,,,,,,,,,,,,,,,,*,*,,*,,,,,,,,,,,,,,,, 
Contractor:,,,,G&A CONSTRUCTION,,,,,,,,,*,*,*,*,,,*,,,*,,,,,,,,,,,,,,,,,
,,,,SIMMERS CONTRACTS LTD,,,,,,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Issue,,,,,,,,2024-07-19 00:00:00,,2025-01-16 00:00:00,2025-01-15 00:00:00,2024-12-20 00:00:00,2024-08-29 00:00:00,2024-07-19 00:00:00,2024-07-12 00:00:00,2024-07-10 00:00:00,2024-07-08 00:00:00,2024-07-19 00:00:00,2024-07-05 00:00:00,2024-07-02 00:00:00,2024-06-19 00:00:00,2024-06-18 00:00:00,2024-05-07 00:00:00,2024-03-11 00:00:00,,,,,,,,,,,,,,,
Purpose of Issue :,,Approval      Construction      Draft       Feasibility       Information       Planning       Tender     Warrant,,,,,,T,,C,C,C,I,C,C,C,T,T,C,C,W,C,W,I,,,,,,,,,,,,,,,
Method of Issue :,,Email          Sharepoint    ,,,,,,E,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,
Issued by :,,,,,,,,KG,,KG,WB,KG,MJ,KG,KG,MJ,MJ,MJ,MJ,SW,SW,MJ,SW,MJ,,,,,,,,,,,,,,,
Document Number,,Document Type,Package,Decription,,Size,Issue / Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CONDENSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-01,,DR,00,GENERAL NOTES,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-02,,DR,00,GROUND FLOOR LAYOUT,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-03,,DR,00,PLAN ON LEVEL 1,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-04,,DR,00,PLAN ON LEVEL 2,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230049-M+J-V1-XX-DR-S-00-05,,DR,00,ROOF LAYOUT,,A1,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
